nb_of_people,initial_inform_strategy,flooding_alert_time_minutes,number_evacuted_people,total_time_in_roads,efficiency
1500,random,60.0,129.4,4349758.0,0.00178571264598595
1500,random,90.0,137.4,6775892.0,0.00182617579118432
1500,random,120.0,142.4,9204840.0,0.00185761277757706
2000,random,60.0,166.6,5994166.0,0.00166895269361596
2000,random,90.0,176.2,9256124.0,0.00171481361027032
2000,random,120.0,180.8,12519134.0,0.00173489388420307
3000,random,60.0,265.0,9253526.0,0.00171839546264342
3000,random,90.0,277.2,14140240.0,0.00176445229857837
3000,random,120.0,287.2,19016348.0,0.00181244893974063
4000,random,60.0,363.6,12553128.0,0.00173809000197451
4000,random,90.0,380.0,19062872.0,0.00179431215930087
4000,random,120.0,390.6,25555912.0,0.00183438445761921
1500,furthest,60.0,128.6,4241790.0,0.00181945544590286
1500,furthest,90.0,135.0,6677008.0,0.00182018828585925
1500,furthest,120.0,138.6,9116900.0,0.00182486579691371
2000,furthest,60.0,172.2,5869076.0,0.00176306161202547
2000,furthest,90.0,182.4,9125102.0,0.00180241429993706
2000,furthest,120.0,186.4,12379352.0,0.00181056721007556
3000,furthest,60.0,271.4,9079184.0,0.00179421160953952
3000,furthest,90.0,287.0,13951750.0,0.00185219702665186
3000,furthest,120.0,291.8,18816798.0,0.00186174524158929
4000,furthest,60.0,346.2,12426866.0,0.001671973772058
4000,furthest,90.0,362.2,18973980.0,0.00171850696084372
4000,furthest,120.0,370.4,25506842.0,0.00174310136301497
1500,closest,60.0,137.4,4213146.0,0.00195750257071664
1500,closest,90.0,143.0,6628762.0,0.00194241959665038
1500,closest,120.0,146.6,9048712.0,0.00194499986190392
2000,closest,60.0,177.6,5820516.0,0.00183159857049277
2000,closest,90.0,187.8,9066040.0,0.00186535302333549
2000,closest,120.0,195.2,12304554.0,0.00190471394496642
3000,closest,60.0,257.6,9120192.0,0.00169490956421964
3000,closest,90.0,272.2,14013016.0,0.00174834864204396
3000,closest,120.0,279.2,18900030.0,0.00177276791653639
4000,closest,60.0,339.2,12427028.0,0.00163859861070407
4000,closest,90.0,357.0,18973282.0,0.00169428824258154
4000,closest,120.0,371.0,25499950.0,0.00174664993639022
