cycle,number_evacuted_people
0,0
20,6
40,33
60,63
80,104
100,119
120,126
140,130
160,140
180,143
200,150
220,153
240,155
260,158
280,163
300,164
320,165
340,169
360,170
380,171
400,172
420,174
440,174
460,174
480,176
500,176
520,177
540,177
560,177
580,177
600,178
620,178
640,178
660,178
680,179
700,179
720,179
740,179
760,179
780,179
800,179
820,179
840,179
860,179
880,179
900,179
920,179
940,179
960,179
980,179
1000,179
1020,179
1040,179
1060,179
1080,179
1100,179
1120,179
1140,179
1160,179
1180,179
1200,179
1220,179
1240,179
1260,179
1280,179
1300,179
