time,number_evacuted_people
0.0,0
200.0,11
400.0,60
600.0,118
800.0,166
1000.0,196
1200.0,206
1400.0,216
1600.0,221
1800.0,229
2000.0,230
2200.0,233
2400.0,237
2600.0,238
2800.0,242
3000.0,243
3200.0,244
3400.0,249
3600.0,251
3800.0,254
4000.0,255
4200.0,255
4400.0,256
4600.0,258
4800.0,259
5000.0,260
5200.0,260
5400.0,261
5600.0,263
5800.0,264
6000.0,266
6200.0,266
6400.0,267
6600.0,269
6800.0,270
7000.0,270
7200.0,270
7400.0,270
7600.0,270
7800.0,270
8000.0,271
8200.0,271
8400.0,271
8600.0,271
8800.0,272
9000.0,272
9200.0,273
9400.0,273
9600.0,274
9800.0,275
10000.0,275
10200.0,276
10400.0,276
10600.0,276
10800.0,277
11000.0,277
11200.0,278
11400.0,278
11600.0,279
11800.0,281
12000.0,282
12200.0,282
12400.0,283
12600.0,284
12800.0,284
13000.0,284
13200.0,285
13400.0,286
13600.0,286
13800.0,286
14000.0,286
14200.0,286
14400.0,286
14600.0,286
14800.0,286
15000.0,286
15200.0,286
15400.0,287
15600.0,288
15800.0,288
16000.0,288
16200.0,288
16400.0,288
16600.0,288
16800.0,288
17000.0,288
17200.0,289
17400.0,290
17600.0,290
17800.0,291
18000.0,292
18200.0,292
18400.0,292
18600.0,292
18800.0,292
19000.0,292
19200.0,292
19400.0,293
19600.0,293
19800.0,293
20000.0,293
20200.0,295
20400.0,295
20600.0,295
20800.0,295
21000.0,297
21200.0,298
21400.0,298
21600.0,299
21800.0,299
22000.0,299
22200.0,299
22400.0,299
22600.0,299
22800.0,300
23000.0,301
23200.0,301
23400.0,301
23600.0,302
23800.0,302
24000.0,302
24200.0,302
24400.0,302
24600.0,302
24800.0,303
25000.0,304
25200.0,304
25400.0,304
25600.0,305
25800.0,307
26000.0,307
26200.0,307
26400.0,307
26600.0,307
26800.0,307
27000.0,308
27200.0,308
27400.0,308
27600.0,308
27800.0,309
28000.0,309
28200.0,309
28400.0,309
28600.0,309
28800.0,309
29000.0,310
29200.0,311
29400.0,311
29600.0,311
29800.0,312
30000.0,312
30200.0,312
30400.0,312
30600.0,312
30800.0,312
31000.0,312
31200.0,314
31400.0,314
31600.0,314
31800.0,314
32000.0,315
32200.0,315
32400.0,315
32600.0,315
32800.0,315
33000.0,316
33200.0,316
33400.0,316
33600.0,316
33800.0,316
34000.0,316
34200.0,316
34400.0,317
34600.0,317
34800.0,318
35000.0,318
35200.0,318
35400.0,320
35600.0,321
35800.0,323
36000.0,323
36200.0,323
36400.0,323
36600.0,324
36800.0,324
37000.0,324
37200.0,325
37400.0,325
37600.0,325
37800.0,325
38000.0,325
38200.0,326
38400.0,326
38600.0,326
38800.0,327
39000.0,327
39200.0,327
39400.0,327
39600.0,327
39800.0,327
40000.0,327
40200.0,327
40400.0,327
40600.0,327
40800.0,327
41000.0,327
41200.0,327
41400.0,328
41600.0,328
41800.0,328
42000.0,328
42200.0,330
42400.0,330
42600.0,330
42800.0,331
43000.0,331
43200.0,332
43400.0,332
43600.0,333
43800.0,333
44000.0,333
44200.0,333
44400.0,333
44600.0,333
44800.0,334
45000.0,335
45200.0,335
45400.0,337
45600.0,337
45800.0,337
46000.0,337
46200.0,338
46400.0,338
46600.0,338
46800.0,339
47000.0,339
47200.0,339
47400.0,340
47600.0,340
47800.0,341
48000.0,342
48200.0,342
48400.0,342
48600.0,342
48800.0,345
49000.0,345
49200.0,346
49400.0,346
49600.0,346
49800.0,347
50000.0,347
50200.0,348
50400.0,348
50600.0,349
50800.0,349
51000.0,349
51200.0,349
51400.0,349
51600.0,350
51800.0,350
52000.0,350
52200.0,350
52400.0,350
52600.0,350
52800.0,351
53000.0,351
53200.0,351
53400.0,352
53600.0,354
53800.0,354
54000.0,354
54200.0,356
54400.0,356
54600.0,357
54800.0,357
55000.0,357
55200.0,357
55400.0,357
55600.0,357
55800.0,357
56000.0,357
56200.0,357
56400.0,357
56600.0,358
56800.0,359
57000.0,359
57200.0,360
57400.0,360
57600.0,360
57800.0,361
58000.0,361
58200.0,361
58400.0,362
58600.0,362
58800.0,362
59000.0,362
59200.0,362
59400.0,362
59600.0,362
59800.0,363
60000.0,363
60200.0,364
60400.0,364
60600.0,364
60800.0,366
61000.0,366
61200.0,366
61400.0,367
61600.0,367
61800.0,368
62000.0,370
62200.0,370
62400.0,370
62600.0,370
62800.0,370
63000.0,371
63200.0,372
63400.0,373
63600.0,373
63800.0,373
64000.0,375
64200.0,375
64400.0,376
64600.0,376
64800.0,377
65000.0,378
65200.0,378
65400.0,378
65600.0,382
65800.0,383
66000.0,385
66200.0,385
66400.0,385
66600.0,385
66800.0,385
67000.0,386
67200.0,386
67400.0,386
67600.0,387
67800.0,387
68000.0,387
68200.0,387
68400.0,387
68600.0,387
68800.0,388
69000.0,388
69200.0,388
69400.0,389
69600.0,390
69800.0,391
70000.0,392
70200.0,394
70400.0,394
70600.0,395
70800.0,395
71000.0,396
71200.0,396
71400.0,396
71600.0,396
71800.0,396
