cycle,number_evacuted_people
0,0
20,18
40,59
60,152
80,249
100,296
120,316
140,329
160,335
180,340
200,349
220,350
240,354
260,356
280,356
300,359
320,359
340,368
360,371
380,374
400,378
420,379
440,380
460,381
480,382
500,386
520,387
540,388
560,391
580,392
600,392
620,393
640,393
660,394
680,395
700,397
720,397
740,397
760,397
780,397
800,397
820,397
840,397
860,397
880,397
900,397
920,397
940,397
960,397
980,397
1000,397
1020,397
1040,397
1060,397
1080,397
1100,397
1120,397
1140,397
1160,397
1180,397
